Time [s],Channel 0
2021-07-16T20:05:10.412589750+00:00,1
2021-07-16T20:05:10.412948917+00:00,0
2021-07-16T20:05:10.413441833+00:00,1
2021-07-16T20:05:10.414611583+00:00,0
2021-07-16T20:05:10.415104500+00:00,1
2021-07-16T20:05:10.416278917+00:00,0
2021-07-16T20:05:10.416771833+00:00,1
2021-07-16T20:05:10.417121833+00:00,0
2021-07-16T20:05:10.417614667+00:00,1
2021-07-16T20:05:10.418789083+00:00,0
2021-07-16T20:05:10.419282083+00:00,1
2021-07-16T20:05:10.419632000+00:00,0
2021-07-16T20:05:10.420125000+00:00,1
2021-07-16T20:05:10.420479583+00:00,0
2021-07-16T20:05:10.420972500+00:00,1
2021-07-16T20:05:10.422146833+00:00,0
2021-07-16T20:05:10.422639667+00:00,1
2021-07-16T20:05:10.423827917+00:00,0
2021-07-16T20:05:10.424320750+00:00,1
2021-07-16T20:05:10.424666000+00:00,0
2021-07-16T20:05:10.425158833+00:00,1
2021-07-16T20:05:10.426337667+00:00,0
2021-07-16T20:05:10.426830500+00:00,1
2021-07-16T20:05:10.428004833+00:00,0
2021-07-16T20:05:10.428497750+00:00,1
2021-07-16T20:05:10.428852333+00:00,0
2021-07-16T20:05:10.429345250+00:00,1
2021-07-16T20:05:10.429695167+00:00,0
2021-07-16T20:05:10.430188000+00:00,1
2021-07-16T20:05:10.431366833+00:00,0
2021-07-16T20:05:10.431859667+00:00,1
2021-07-16T20:05:10.432209583+00:00,0
2021-07-16T20:05:10.432702500+00:00,1
2021-07-16T20:05:10.433066250+00:00,0
2021-07-16T20:05:10.433559167+00:00,1
2021-07-16T20:05:10.434728833+00:00,0
2021-07-16T20:05:10.435221667+00:00,1
2021-07-16T20:05:10.435571667+00:00,0
2021-07-16T20:05:10.436064583+00:00,1
2021-07-16T20:05:10.436419083+00:00,0
2021-07-16T20:05:10.436912000+00:00,1
2021-07-16T20:05:10.437261917+00:00,0
2021-07-16T20:05:10.437754833+00:00,1
2021-07-16T20:05:10.438109417+00:00,0
2021-07-16T20:05:10.438602250+00:00,1
2021-07-16T20:05:10.438952167+00:00,0
2021-07-16T20:05:10.439445083+00:00,1
2021-07-16T20:05:10.439799667+00:00,0
2021-07-16T20:05:10.440292583+00:00,1
2021-07-16T20:05:10.440651750+00:00,0
2021-07-16T20:05:10.441144667+00:00,1
2021-07-16T20:05:10.441494750+00:00,0
2021-07-16T20:05:10.441987750+00:00,1
2021-07-16T20:05:10.442342417+00:00,0
2021-07-16T20:05:10.442835417+00:00,1
2021-07-16T20:05:10.443185417+00:00,0
2021-07-16T20:05:10.443678417+00:00,1
2021-07-16T20:05:10.444033167+00:00,0
2021-07-16T20:05:10.444526167+00:00,1
2021-07-16T20:05:10.444876250+00:00,0
2021-07-16T20:05:10.445369250+00:00,1
2021-07-16T20:05:10.445723917+00:00,0
2021-07-16T20:05:10.446216917+00:00,1
2021-07-16T20:05:10.446566917+00:00,0
2021-07-16T20:05:10.447059917+00:00,1
2021-07-16T20:05:10.447423833+00:00,0
2021-07-16T20:05:10.447916833+00:00,1
2021-07-16T20:05:10.448266917+00:00,0
2021-07-16T20:05:10.448755417+00:00,1
2021-07-16T20:05:10.449110083+00:00,0
2021-07-16T20:05:10.449603083+00:00,1
2021-07-16T20:05:10.449953083+00:00,0
2021-07-16T20:05:10.450446083+00:00,1
2021-07-16T20:05:10.450800750+00:00,0
2021-07-16T20:05:10.451293833+00:00,1
2021-07-16T20:05:10.451648500+00:00,0
2021-07-16T20:05:10.452136917+00:00,1
2021-07-16T20:05:10.453316167+00:00,0
2021-07-16T20:05:10.453809083+00:00,1
2021-07-16T20:05:10.454159083+00:00,0
2021-07-16T20:05:10.454652000+00:00,1
2021-07-16T20:05:10.455015833+00:00,0
2021-07-16T20:05:10.455508750+00:00,1
2021-07-16T20:05:10.456678583+00:00,0
2021-07-16T20:05:10.457171500+00:00,1
2021-07-16T20:05:10.458341333+00:00,0
2021-07-16T20:05:10.458834167+00:00,1
2021-07-16T20:05:10.459188750+00:00,0
2021-07-16T20:05:10.459681667+00:00,1
2021-07-16T20:05:10.460031750+00:00,0
2021-07-16T20:05:10.460524667+00:00,1
2021-07-16T20:05:10.460879250+00:00,0
2021-07-16T20:05:10.461372083+00:00,1
2021-07-16T20:05:10.461722167+00:00,0
2021-07-16T20:05:10.462215083+00:00,1
2021-07-16T20:05:10.462569750+00:00,0
2021-07-16T20:05:10.463062667+00:00,1
2021-07-16T20:05:10.463421833+00:00,0
2021-07-16T20:05:10.463914833+00:00,1
2021-07-16T20:05:10.465084667+00:00,0
2021-07-16T20:05:10.465577583+00:00,1
